species,decimalLatitude,decimalLongitude
Hyacinthoides non-scripta,51.405868,-2.240198
Hyacinthoides non-scripta,53.311116,-1.923853
Hyacinthoides non-scripta,51.605087,0.625478
Hyacinthoides non-scripta,54.877631,-6.536869
Hyacinthoides non-scripta,51.831214,-2.288678
Hyacinthoides non-scripta,53.268171,-6.112867
Hyacinthoides non-scripta,50.319999,-4.1918
Hyacinthoides non-scripta,51.405821,-2.240183
Hyacinthoides hispanica,51.489077,-2.543664
Hyacinthoides non-scripta,52.962162,-0.862997
Hyacinthoides non-scripta,53.639612,-2.814712
Hyacinthoides non-scripta,52.525228,-2.092078
Hyacinthoides non-scripta,55.947697,-3.148503
Hyacinthoides non-scripta,54.009026,-2.777676
Hyacinthoides non-scripta,55.936339,-4.394314
Hyacinthoides non-scripta,53.15886,-2.182677
Hyacinthoides non-scripta,53.797938,-1.096286
Hyacinthoides non-scripta,51.589492,-1.02487
Hyacinthoides non-scripta,51.582283,0.642467
Hyacinthoides hispanica,51.482306,-0.286619
Hyacinthoides non-scripta,51.86893,-2.176287
Hyacinthoides non-scripta,51.773814,-1.322599
Hyacinthoides non-scripta,50.892823,-0.594358
Hyacinthoides non-scripta,51.331742,0.087881
Hyacinthoides non-scripta,53.570017,-2.730606
Hyacinthoides hispanica,50.949129,-2.806143
Hyacinthoides non-scripta,50.856888,0.468673
Hyacinthoides non-scripta,54.043865,-1.568143
Hyacinthoides non-scripta,51.728188,-2.141419
Hyacinthoides non-scripta,51.406872,-2.240971
Hyacinthoides non-scripta,53.066997,-1.860462
Hyacinthoides non-scripta,51.405768,-2.240196
Hyacinthoides non-scripta,51.407026,-2.240996
Hyacinthoides non-scripta,50.893774,-1.981764
Hyacinthoides non-scripta,52.429778,-0.36079
Hyacinthoides non-scripta,51.331403,-2.767625
Hyacinthoides non-scripta,53.180001,-2.864971
Hyacinthoides non-scripta,53.532452,-2.01483
Hyacinthoides non-scripta,52.63479,1.240486
Hyacinthoides non-scripta,51.405914,-2.240299
Hyacinthoides non-scripta,54.354055,-2.799742
Hyacinthoides non-scripta,54.187286,-6.384686
Hyacinthoides non-scripta,51.397413,-1.769092
Hyacinthoides non-scripta,51.488798,-3.19075
